startup,signal_type,date,title,summary,sources,source_count,funding_amount_musd,funding_stage
PayFlux,acquisition,2026-05-02,PayFlux acquires payments compliance startup ClearRail,"PayFlux announced today it has acquired ClearRail, a small compliance automation startup, for an undisclosed sum. The acquisition will bolster PayFlux's regulatory tooling for cross-border payments.",Fintech Insider,1,,
PayFlux,layoffs,2026-06-18,PayFlux reduces headcount by 8% amid restructuring,"PayFlux has laid off approximately 8% of its workforce as part of a restructuring effort, the company confirmed, even as it continues to grow revenue from its embedded payments product.",StartupDirectoryX,1,,
Loomwork,funding,2026-07-08,Loomwork emerges from stealth with $3.5M pre-seed to reinvent freelancer tooling,"Loomwork, a two-person startup building collaborative tooling for freelance creative teams, has raised $3.5 million in pre-seed funding led by a group of angel investors, and announced its private beta waitlist.",TechCrunch,1,3.5,seed
Loomwork,funding,2026-07-09,We're building Loomwork in public,"We just raised $3.5M in pre-seed funding to build Loomwork, tools for freelance creative teams to collaborate without the chaos of scattered docs and chat threads. We're a team of two right now and hiring our first engineer.",Loomwork Blog,1,3.5,seed
Loomwork,hiring,2026-07-09,We're building Loomwork in public,"We just raised $3.5M in pre-seed funding to build Loomwork, tools for freelance creative teams to collaborate without the chaos of scattered docs and chat threads. We're a team of two right now and hiring our first engineer.",Loomwork Blog,1,,
Aether Robotics,funding,2026-02-19,Aether Robotics raises $110M Series D to scale warehouse automation,"Aether Robotics, maker of autonomous warehouse picking robots, has raised $110 million in Series D funding led by Coatue, valuing the company at $1.4 billion. The company now has robots deployed in over 40 warehouses.",VentureBeat,1,110.0,series d
Aether Robotics,partnership,2026-06-28,Aether Robotics partners with Walmart for warehouse automation rollout,"Aether Robotics announced a multi-year partnership with Walmart to deploy its autonomous picking robots across 25 additional distribution centers, its largest partnership to date.",SupplyChainDive,1,,
Aether Robotics,hiring,2026-07-10,Aether Robotics hiring for 40 new engineering and operations roles,"Aether Robotics has 40 open roles across robotics engineering, field operations, and data science as it scales up to meet demand from its recent Walmart partnership.",StartupDirectoryX,1,,
Verdant Foods,funding,2026-01-30,"Verdant Foods, once a rising alt-protein star, lays off 30% of staff","Verdant Foods, a plant-based protein startup that raised $80M in 2023, announced layoffs affecting 30% of its workforce as it struggles with slowing demand and rising input costs.",TechCrunch,1,80.0,
Verdant Foods,layoffs,2026-01-30,"Verdant Foods, once a rising alt-protein star, lays off 30% of staff","Verdant Foods, a plant-based protein startup that raised $80M in 2023, announced layoffs affecting 30% of its workforce as it struggles with slowing demand and rising input costs.",TechCrunch,1,,
Verdant Foods,layoffs,2026-04-05,Verdant Foods CEO steps down amid restructuring,"Verdant Foods founder and CEO Mia Chen has stepped down, with the board appointing interim leadership as the plant-based food startup continues to restructure operations.",FoodDiveNews,1,,
Verdant Foods,leadership_change,2026-04-05,Verdant Foods CEO steps down amid restructuring,"Verdant Foods founder and CEO Mia Chen has stepped down, with the board appointing interim leadership as the plant-based food startup continues to restructure operations.",FoodDiveNews,1,,
Verdant Foods,acquisition,2026-06-01,Verdant Foods acquired by Nestle-backed food conglomerate,"Verdant Foods has been acquired by a Nestle-backed food conglomerate for an undisclosed amount, marking a quiet exit for the once high-flying alt-protein startup.",StartupDirectoryX,1,,
